%prun bulk_NN()

         105169 function calls (101140 primitive calls) in 0.083 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 nest.py:129(_sequence_like)
       18    0.000    0.000    0.001    0.000 math_ops.py:1122(binary_op_wrapper)
       53    0.000    0.000    0.000    0.000 constant_op.py:267(_constant_impl)
       12    0.000    0.000    0.000    0.000 base_layer.py:2261(_set_dtype_policy)
       93    0.000    0.000    0.000    0.000 encoder.py:376(EncodeVarint)
       20    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       18    0.000    0.000    0.021    0.001 resource_variable_ops.py:643(_read_variable_op)
       36    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetRecordOperation}
       28    0.000    0.000    0.000    0.000 generic_utils.py:334(deserialize_keras_object)
       29    0.000    0.000    0.000    0.000 containers.py:376(add)
       20    0.000    0.000    0.000    0.000 tensor_shape.py:1074(is_compatible_with)
      161    0.000    0.000    0.000    0.000 object_identity.py:54(__eq__)
        9    0.000    0.000    0.018    0.002 gen_math_ops.py:5590(mat_mul)
       46    0.000    0.000    0.000    0.000 op_def_library.py:737(<listcomp>)
      110    0.000    0.000    0.000    0.000 ops.py:3071(_c_graph)
       85    0.000    0.000    0.000    0.000 tensor_shape.py:756(<listcomp>)
        1    0.000    0.000    0.083    0.083 temp.py:31(bulk_NN)
       20    0.000    0.000    0.017    0.001 variables.py:182(_variable_v1_call)
       63    0.000    0.000    0.000    0.000 control_flow_util.py:266(CheckInputFromValidContext)
      167    0.000    0.000    0.000    0.000 containers.py:211(__len__)
       88    0.000    0.000    0.000    0.000 ops.py:216(uid)
       64    0.000    0.000    0.000    0.000 ops.py:4637(_record_op_seen_by_control_dependencies)
       42    0.000    0.000    0.000    0.000 ops.py:6635(__exit__)
        9    0.000    0.000    0.000    0.000 functional.py:845(<setcomp>)
      368    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       37    0.000    0.000    0.001    0.000 encoder.py:766(EncodeField)
       88    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
      139    0.000    0.000    0.000    0.000 ops.py:3015(_variable_creator_stack)
        9    0.000    0.000    0.039    0.004 core.py:30(dense)
       64    0.000    0.000    0.000    0.000 threading.py:364(notify_all)
       63    0.000    0.000    0.000    0.000 ops.py:6498(__exit__)
       64    0.000    0.000    0.001    0.000 ops.py:386(_create_with_tf_output)
       45    0.000    0.000    0.000    0.000 object_identity.py:174(__init__)
       12    0.000    0.000    0.000    0.000 policy.py:342(_parse_name)
       96    0.000    0.000    0.000    0.000 tensor_shape.py:185(__init__)
       24    0.000    0.000    0.005    0.000 resource_variable_ops.py:198(eager_safe_variable_handle)
       47    0.000    0.000    0.000    0.000 func_graph.py:1055(device_stack_has_callable)
       64    0.000    0.000    0.000    0.000 six.py:588(iteritems)
       64    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
       46    0.000    0.000    0.000    0.000 op_def_library.py:84(_Flatten)
      192    0.000    0.000    0.000    0.000 lock_util.py:110(_validate_group_id)
       79    0.000    0.000    0.000    0.000 context.py:239(pop)
      172    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       48    0.000    0.000    0.000    0.000 containers.py:247(__init__)
      144    0.000    0.000    0.000    0.000 ops.py:4086(_name_stack)
        9    0.000    0.000    0.001    0.000 base_layer.py:2556(_set_connectivity_metadata)
       19    0.000    0.000    0.000    0.000 training.py:2361(layers)
      146    0.000    0.000    0.000    0.000 ops.py:5044(_colocation_stack)
       96    0.000    0.000    0.000    0.000 ops.py:2801(name_from_scope_name)
      237    0.000    0.000    0.000    0.000 {method 'pack' of 'Struct' objects}
       63    0.000    0.000    0.000    0.000 ops.py:6439(__init__)
      218    0.000    0.000    0.000    0.000 enum.py:631(__new__)
       46    0.000    0.000    0.000    0.000 op_def_library.py:87(<listcomp>)
       24    0.000    0.000    0.000    0.000 containers.py:271(extend)
       24    0.000    0.000    0.001    0.000 containers.py:387(append)
      103    0.000    0.000    0.000    0.000 weakref.py:419(get)
      186    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      128    0.000    0.000    0.000    0.000 containers.py:628(__iter__)
      105    0.000    0.000    0.001    0.000 containers.py:420(MergeFrom)
        9    0.000    0.000    0.006    0.001 gen_nn_ops.py:647(bias_add)
       64    0.000    0.000    0.000    0.000 ops.py:5153(_mutation_lock)
       20    0.000    0.000    0.000    0.000 encoder.py:299(RepeatedFieldSize)
       90    0.000    0.000    0.000    0.000 ops.py:402(graph)
       57    0.000    0.000    0.000    0.000 context.py:2001(graph_mode)
       64    0.000    0.000    0.000    0.000 ops.py:5019(_snapshot_device_function_stack_metadata)
       63    0.000    0.000    0.000    0.000 op_def_library.py:64(_IsListParameter)
      199    0.000    0.000    0.000    0.000 ops.py:397(dtype)
      154    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
       57    0.000    0.000    0.000    0.000 ops.py:3886(as_default)
       18    0.000    0.000    0.022    0.001 resource_variable_ops.py:550(value)
      282    0.000    0.000    0.000    0.000 base_layer.py:1218(name)
       18    0.000    0.000    0.000    0.000 ops.py:4557(__enter__)
      127    0.000    0.000    0.000    0.000 ops.py:3472(<genexpr>)
       79    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsStopped}
       18    0.000    0.000    0.000    0.000 resource_variable_ops.py:329(variable_accessed)
       38    0.000    0.000    0.000    0.000 __init__.py:149(get)
       20    0.000    0.000    0.017    0.001 variables.py:199(<lambda>)
      128    0.000    0.000    0.000    0.000 lock_util.py:107(<genexpr>)
        9    0.000    0.000    0.008    0.001 init_ops_v2.py:528(__call__)
       54    0.000    0.000    0.000    0.000 node.py:123(parent_nodes)
       27    0.000    0.000    0.000    0.000 op_def_library.py:38(_Attr)
        1    0.000    0.000    0.083    0.083 <string>:1(<module>)
